token	lemma	POS	morph	treated
Qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	Qui
parole	parler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	parole
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	au
Roi	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r	Roi
Pescheor	peschëor	NOMcom	NOMB.=s|GENRE=m|CAS=r	Pescheor
,	,	PONfbl	MORPH=empty	,
Mais	mais1	CONcoo	MORPH=empty	Mais
molt	mout	ADVgen	DEGRE=-	molt
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	se
tient	tenir1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	tient
a	a3	PRE	MORPH=empty	a
pecheor	pechëor	NOMcom	NOMB.=s|GENRE=m|CAS=r	pecheor
Quant	cant1	CONsub	MORPH=empty	Quant
du	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	du
Graal	gräal	NOMpro	NOMB.=s|GENRE=m|CAS=r	Graal
ne	ne1	ADVneg	MORPH=empty	ne
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	puet
savoir	savoir	VERinf	MORPH=empty	savoir
La	le	DETdef	NOMB.=s|GENRE=f|CAS=r	La
verité	verité	NOMcom	NOMB.=s|GENRE=f|CAS=r	verité
;	;	PONfbl	MORPH=empty	;
mais	mais1	CONcoo	MORPH=empty	mais
par	par	PRE	MORPH=empty	par
savoir	savoir	VERinf	MORPH=empty	savoir
Demande	demander	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	Demande
al	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	al
roi	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r	roi
molt	mout	ADVgen	DEGRE=-	molt
dolcement	doucement	ADVgen	DEGRE=p	dolcement
,	,	PONfbl	MORPH=empty	,
Si	si	ADVgen	DEGRE=-	Si
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
prie	priier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	prie
hastievement	hastivement	ADVgen	NOMB.=s|DEGRE=p	hastievement
Del	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	Del
Graal	gräal	NOMpro	NOMB.=s|GENRE=m|CAS=r	Graal
que	que2	PROrel	NOMB.=s|CAS=r	que
