token	lemma	POS	morph	treated
Cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n	Cil
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
mist	metre2	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	mist
cest	cest	DETdem	NOMB.=s|GENRE=m|CAS=r	cest
conte	conte1	NOMcom	NOMB.=s|GENRE=m|CAS=r	conte
en	en1	PRE	MORPH=empty	en
romans	romanz	NOMcom	NOMB.=p|GENRE=m|CAS=r	romans
,	,	PONfbl	MORPH=empty	,
ou	où	PROrel	MORPH=empty	ou
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
fet	faire	VERppe	NOMB.=s|GENRE=n|CAS=r	fet
noter	noter1	VERinf	MORPH=empty	noter
biaus	bel1	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p	biaus
chans	champ	NOMcom	NOMB.=p|GENRE=m|CAS=r	chans
por	por2	PRE	MORPH=empty	por
ramenbrance	remembrance	NOMcom	NOMB.=s|GENRE=f|CAS=r	ramenbrance
des	de+le	PRE.DETdef	NOMB.=p|GENRE=f|CAS=r	des
chançons	chançon	NOMcom	NOMB.=p|GENRE=f|CAS=r	chançons
,	,	PONfbl	MORPH=empty	,
veut	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	veut
que	que4	CONsub	MORPH=empty	que
ses	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=n	ses
pris	pris1	NOMcom	NOMB.=s|GENRE=m|CAS=n	pris
et	et	CONcoo	MORPH=empty	et
ses	son4	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=n	ses
renons	renom	NOMcom	NOMB.=p|GENRE=m|CAS=n	renons
voist	aler	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	voist
en	en1	PRE	MORPH=empty	en
Raincïen	Rincin	NOMpro	NOMB.=s|GENRE=m|CAS=r	Raincïen
en	en1	PRE	MORPH=empty	en
Champaigne	Champagne	NOMpro	NOMB.=s|GENRE=f|CAS=r	Champaigne
et	et	CONcoo	MORPH=empty	et
que	que4	CONsub	MORPH=empty	que
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
biaus	bel1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	biaus
Miles	Miles	NOMpro	NOMB.=s|GENRE=m|CAS=n	Miles
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
apregne	aprendre	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	apregne
de	de	PRE	MORPH=empty	de
Nantuel	Nantel	NOMpro	NOMB.=s|GENRE=m|CAS=r	Nantuel
,	,	PONfbl	MORPH=empty	,
uns	un	PROind	NOMB.=s|GENRE=m|CAS=n	uns
des	de+le	PRE.DETdef	NOMB.=p|GENRE=m|CAS=r	des
preus	pro	NOMcom	NOMB.=p|GENRE=m|CAS=r	preus
del	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	del
regne	regne	NOMcom	NOMB.=s|GENRE=m|CAS=r	regne
;	;	PONfbl	MORPH=empty	;
car	car	CONcoo	MORPH=empty	car
aussi	aussi	ADVgen	DEGRE=-	aussi
com	come1	CONsub	MORPH=empty	com
l'	il	DETdef	NOMB.=s|GENRE=m|CAS=n	l
en	on	PROind	NOMB.=s|CAS=n	en
met	metre2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	met
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
graine	graine	NOMcom	NOMB.=s|GENRE=f|CAS=r	graine
es	en1+le	PRE.DETdef	NOMB.=p|GENRE=m|CAS=r	es
dras	drap	NOMcom	NOMB.=p|GENRE=m|CAS=r	dras
por	por2	PRE	MORPH=empty	por
avoir	avoir	VERinf	MORPH=empty	avoir
los	il	NOMcom	NOMB.=s|GENRE=m|CAS=r	los
et	et	CONcoo	MORPH=empty	et
pris	prendre	NOMcom	NOMB.=s|GENRE=m|CAS=r	pris
,	,	PONfbl	MORPH=empty	,
einsi	ainsi	ADVgen	DEGRE=-	einsi
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
chans	champ	NOMcom	NOMB.=p|GENRE=m|CAS=r	chans
et	et	CONcoo	MORPH=empty	et
sons	suen	PROpos	PERS.=3|NOMB.=p|GENRE=m|CAS=r	sons
mis	metre2	VERppe	NOMB.=s|GENRE=m|CAS=r	mis
en	en1	PRE	MORPH=empty	en
cestui	cest	DETdem	NOMB.=s|GENRE=m|CAS=r	cestui
