token	lemma	POS	morph	treated
Puis	puis	ADVgen	DEGRE=-	Puis
que	que4	CONsub	MORPH=empty	que
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=n	ma
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n	dame
de	de	PRE	MORPH=empty	de
Chanpaigne	Chanpaingne	NOMpro	NOMB.=s|GENRE=f|CAS=r	Chanpaigne
Vialt	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	Vialt
que	que4	CONsub	MORPH=empty	que
romans	romanz	NOMcom	TEMPS=pst|NOMB.=s|GENRE=m|CAS=n	romans
a	a3	PRE	TEMPS=pst	a
feire	faire	VERinf	MORPH=empty	feire
anpraigne	emprendre	VERcjg	MODE=sub|PERS.=1|NOMB.=s|GENRE=f|CAS=r	anpraigne
,	,	PONfbl	MORPH=empty	,
Je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	Je
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
anprendrai	emprendre	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s	anprendrai
mout	mout	ADVgen	DEGRE=-	mout
volentiers	volentiers	ADVgen	DEGRE=s	volentiers
Come	come1	CONsub	MORPH=empty	Come
cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n	cil
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
suens	suen	ADJpos	PERS.=3|NOMB.=s|GENRE=m|CAS=n	suens
antiers	entier	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	antiers
De	de	PRE	MORPH=empty	De
quanqu'	cantque	PROrel	NOMB.=s|GENRE=m|CAS=r	quanqu
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	puet
el	en1+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	el
monde	monde1	NOMcom	NOMB.=s|GENRE=m|CAS=r	monde
feire	faire	VERinf	MORPH=empty	feire
Sanz	sans	PRE	MORPH=empty	Sanz
rien	rien	PROind	NOMB.=s|GENRE=f|CAS=r	rien
de	de	PRE	MORPH=empty	de
losange	losenge2	NOMcom	NOMB.=s|GENRE=f|CAS=r	losange
avant	avant	ADVgen	DEGRE=-	avant
treire	traire	VERinf	MORPH=empty	treire
.	.	PONfrt	MORPH=empty	.
Mes	mais1	CONcoo	MORPH=empty	Mes
tex	tel	PROind	NOMB.=s|GENRE=m|CAS=n	tex
s'	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	s
an	en2	PROadv	MORPH=empty	an
poïst	pöoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	poïst
antremetre	entremetre	VERinf	MORPH=empty	antremetre
Qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	Qui
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
volsist	voloir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	volsist
losenge	losenge2	NOMcom	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	losenge
metre	metre2	VERinf	MORPH=empty	metre
,	,	PONfbl	MORPH=empty	,
Si	si	ADVgen	DEGRE=-	Si
deïst	dire	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	deïst
,	,	PONfbl	MORPH=empty	,
et	et	CONcoo	MORPH=empty	et
jel	je+il	PROper.PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	jel
tesmoignasse	tesmoignier	VERcjg	MODE=sub|TEMPS=ipf|PERS.=1|NOMB.=s	tesmoignasse
,	,	PONfbl	MORPH=empty	,
Que	que4	CONsub	MORPH=empty	Que
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n	ce
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n	la
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n	dame
qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n	qui
passe	passer1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	passe
Totes	tot	DETind	NOMB.=p|GENRE=f|CAS=r	Totes
celes	cel	PROdem	NOMB.=p|GENRE=f|CAS=r	celes
qui	qui	PROrel	NOMB.=p|GENRE=f|CAS=n	qui
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	sont
vivanz	vivre1	VERppa	NOMB.=p|GENRE=m|CAS=n	vivanz
,	,	PONfbl	MORPH=empty	,
Si	si	ADVgen	DEGRE=-	Si
con	come1	CONsub	MORPH=empty	con
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
funs	fun	NOMcom	NOMB.=s|GENRE=m|CAS=n	funs
passe	passer1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	passe
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r	les
vanz	vent	NOMcom	NOMB.=p|GENRE=m|CAS=r	vanz
