token	lemma	POS	morph	treated
Qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	Qui
petit	petit	ADJqua	NOMB.=s|CAS=r|DEGRE=-	petit
seme	semer1	VERcjg	MODE=ind|TEMPS=pst|NOMB.=s|CAS=n	seme
petit	petit	ADVgen	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	petit
quialt	coillir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s|GENRE=m	quialt
,	,	PONfbl	MORPH=empty	,
et	et	CONcoo	MORPH=empty	et
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
auques	auques	ADVgen	NOMB.=s|DEGRE=-	auques
recoillir	recoillir	VERinf	MORPH=empty	recoillir
vialt	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	vialt
an	en1	PRE	MORPH=empty	an
tel	tel	DETind	NOMB.=s|GENRE=m|CAS=r	tel
leu	lieu	NOMcom	NOMB.=s|GENRE=m|CAS=r	leu
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r	sa
semance	semence	NOMcom	NOMB.=s|GENRE=f|CAS=r	semance
espande	espandre	VERcjg	MODE=ind|PERS.=3|NOMB.=s	espande
que	que4	CONsub	MORPH=empty	que
fruit	fruit	NOMcom	NOMB.=s|GENRE=m|CAS=r	fruit
a	a3	PRE	PERS.=3	a
cent	cent	DETcar	NOMB.=p|GENRE=m|CAS=r	cent
dobles	doble	NOMcom	NOMB.=p|GENRE=m|CAS=r	dobles
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
rande	rendre	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	rande
;	;	PONfbl	MORPH=empty	;
car	car	CONcoo	MORPH=empty	car
an	en1	PRE	MORPH=empty	an
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r	terre
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
rien	rien	PROind	NOMB.=s|GENRE=f|CAS=r	rien
ne	ne1	ADVneg	MORPH=empty	ne
vaut	valoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	vaut
,	,	PONfbl	MORPH=empty	,
bone	bon	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p	bone
semance	semence	NOMcom	NOMB.=s|GENRE=f|CAS=r	semance
i	i2	PROadv	MORPH=empty	i
seche	sechier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s|DEGRE=p	seche
et	et	CONcoo	MORPH=empty	et
faut	falir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	faut
.	.	PONfrt	MORPH=empty	.
Crestiens	crestiien	NOMpro	NOMB.=p|GENRE=m|CAS=n	Crestiens
seme	semer1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s|CAS=n	seme
et	et	CONcoo	MORPH=empty	et
fet	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	fet
semance	semence	NOMcom	NOMB.=s|GENRE=f|CAS=r	semance
d'	de	PRE	MORPH=empty	d
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r	un
romans	romanz	NOMcom	NOMB.=s|GENRE=m|CAS=r	romans
que	que2	PROrel	NOMB.=s|GENRE=m	que
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
ancomance	encomencier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	ancomance
,	,	PONfbl	MORPH=empty	,
et	et	CONcoo	MORPH=empty	et
si	si	ADVgen	DEGRE=-	si
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	le
seme	semer1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s|CAS=r	seme
an	en1	PRE	MORPH=empty	an
si	si	ADVgen	PERS.=3|DEGRE=-	si
bon	bon	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	bon
leu	lieu	NOMcom	NOMB.=s|GENRE=m|CAS=r	leu
qu'	que4	CONsub	MORPH=empty	qu
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
ne	ne1	ADVneg	MORPH=empty	ne
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	puet
estre	estre1	VERinf	MORPH=empty	estre
sanz	sans	PRE	MORPH=empty	sanz
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	grant
preu	pro	NOMcom	NOMB.=s|GENRE=m|CAS=r	preu
,	,	PONfbl	MORPH=empty	,
qu'	que4	CONsub	MORPH=empty	qu
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	le
fet	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	fet
por	por2	PRE	MORPH=empty	por
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
plus	plus	ADVgen	DEGRE=c	plus
prodome	prodome	ADJqua	NOMB.=s|GENRE=m|CAS=r	prodome
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
soit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	soit
an	en1	PRE	MORPH=empty	an
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=r	l
empire	empire	NOMcom	NOMB.=s|GENRE=m|CAS=r	empire
de	de	PRE	MORPH=empty	de
Rome	Rome	NOMpro	NOMB.=s|GENRE=f|CAS=r	Rome
.	.	PONfrt	MORPH=empty	.
C'	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n	C
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
cuens	conte1	NOMcom	NOMB.=s|GENRE=m|CAS=n	cuens
Phelipes	Phelipes	NOMpro	NOMB.=s|GENRE=m|CAS=n	Phelipes
de	de	PRE	MORPH=empty	de
Flandres	Flandres	NOMpro	NOMB.=s|GENRE=f|CAS=r	Flandres
,	,	PONfbl	MORPH=empty	,
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
mialz	mieus	ADVgen	DEGRE=c	mialz
valt	valoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	valt
ne	ne1	ADVneg	MORPH=empty	ne
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fist
Alixandres	Alixandre	NOMpro	NOMB.=s|GENRE=m|CAS=n	Alixandres
,	,	PONfbl	MORPH=empty	,
