token	lemma	POS	morph	treated
Cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n	Cil
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fist
d'	de	PRE	MORPH=empty	d
Erec	Erec	NOMpro	NOMB.=s|GENRE=m|CAS=r	Erec
et	et	CONcoo	MORPH=empty	et
d'	de	PRE	MORPH=empty	d
Enide	Enide	NOMpro	NOMB.=s|GENRE=f|CAS=r	Enide
,	,	PONfbl	MORPH=empty	,
Et	et	CONcoo	MORPH=empty	Et
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r	les
comandemanz	comandement	NOMcom	NOMB.=p|GENRE=m|CAS=r	comandemanz
d'	de	PRE	MORPH=empty	d
Ovide	Oudi	NOMpro	NOMB.=s|GENRE=f|CAS=r	Ovide
Et	et	CONcoo	MORPH=empty	Et
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=r	l
art	art	NOMcom	NOMB.=s|GENRE=m|CAS=r	art
d'	de	PRE	MORPH=empty	d
amors	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r	amors
an	en1	PRE	MORPH=empty	an
romans	romanz	NOMcom	NOMB.=s|GENRE=m|CAS=r	romans
mist	metre2	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	mist
,	,	PONfbl	MORPH=empty	,
Et	et	CONcoo	MORPH=empty	Et
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
mors	mors2	NOMcom	NOMB.=s|GENRE=m|CAS=r	mors
de	de	PRE	MORPH=empty	de
l'	le	DETdef	NOMB.=s|GENRE=f|CAS=r	l
espaule	espaule	NOMcom	NOMB.=s|GENRE=f|CAS=r	espaule
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fist
,	,	PONfbl	MORPH=empty	,
Del	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	Del
roi	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r	roi
Marc	Marc	NOMpro	NOMB.=s|GENRE=m|CAS=r	Marc
et	et	CONcoo	MORPH=empty	et
d'	de	PRE	MORPH=empty	d
Ysalt	Iseut	NOMpro	NOMB.=s|GENRE=m|CAS=r	Ysalt
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
blonde	blont	ADJqua	NOMB.=s|GENRE=f|CAS=r	blonde
,	,	PONfbl	MORPH=empty	,
Et	et	CONcoo	MORPH=empty	Et
de	de	PRE	MORPH=empty	de
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
hupe	hupe	NOMcom	NOMB.=s|GENRE=f|CAS=r	hupe
et	et	CONcoo	MORPH=empty	et
de	de	PRE	MORPH=empty	de
l'	le	DETdef	NOMB.=s|GENRE=f|CAS=r	l
aronde	aronde	NOMcom	NOMB.=s|GENRE=f|CAS=r	aronde
Et	et	CONcoo	MORPH=empty	Et
del	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	del
rossignol	rosseignol	NOMcom	NOMB.=s|GENRE=m|CAS=r	rossignol
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
muance	müance	NOMcom	NOMB.=s|GENRE=f|CAS=r	muance
,	,	PONfbl	MORPH=empty	,
.I.	un	DETndf	NOMB.=s|GENRE=m|CAS=r	.I.
novel	novel	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	novel
conte	conte1	NOMcom	NOMB.=s|GENRE=m|CAS=r	conte
rancomance	rencomencier	VERcjg	MODE=ind|PERS.=3|NOMB.=s|GENRE=f|CAS=r	rancomance
D'	de	PRE	MORPH=empty	D
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r	un
vaslet	vaslet	NOMcom	NOMB.=s|GENRE=m|CAS=r	vaslet
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
an	en1	PRE	MORPH=empty	an
Grece	Grece	NOMpro	NOMB.=s|GENRE=f|CAS=r	Grece
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
Del	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	Del
linage	lignage	NOMcom	NOMB.=s|GENRE=m|CAS=r	linage
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
roi	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r	roi
Artu	Artu	NOMpro	NOMB.=s|GENRE=m|CAS=r	Artu
.	.	PONfrt	MORPH=empty	.
Mes	mais1	CONcoo	MORPH=empty	Mes
ainz	ainz	ADVgen	DEGRE=-	ainz
que	que4	CONsub	MORPH=empty	que
de	de	PRE	MORPH=empty	de
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	lui
