token	lemma	POS	morph	treated
Sens	sans	NOMcom	GENRE=m	Sens
de	de	PRE	MORPH=empty	de
povre	povre	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	povre
homme	ome	NOMcom	NOMB.=s|GENRE=m|CAS=r	homme
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
poi	poi	ADVgen	DEGRE=-	poi
prisie	prisier	VERppe	NOMB.=s|GENRE=f|CAS=n	prisie
?	?	PONfrt	MORPH=empty	?
s	se	ADVgen	MORPH=empty	s
;	;	PONfbl	MORPH=empty	;
A	a3	PRE	MORPH=empty	A
painnes	peine	NOMcom	NOMB.=s|GENRE=f|CAS=r	painnes
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
autolisie	autorité	VERppe	NOMB.=s|GENRE=f|CAS=n	autolisie
?	?	PONfrt	MORPH=empty	?
s	se	CONsub	MORPH=empty	s
:	:	PONfbl	MORPH=empty	:
Jamais	ja+mais1	ADVgen	DEGRE=-	Jamais
nus	nos1	DETind	PERS.=1|NOMB.=s|GENRE=m|CAS=n	nus
hom	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n	hom
s’	se	CONsub	MORPH=empty	s
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
n’	ne1	ADVneg	MORPH=empty	n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
avoir	avoir	VERinf	MORPH=empty	avoir
;	;	PONfbl	MORPH=empty	;
Namporquant	neporcant	ADVgen	NOMB.=s|GENRE=m	Namporquant
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
pris	prendre	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s	pris
miex	mieus	ADVgen	DEGRE=c	miex
savoir	savoir	VERinf	MORPH=empty	savoir
C’	ce2	CONsub	CAS=r	C
avoir	avoir	VERinf	MORPH=empty	avoir
.	.	PONfrt	MORPH=empty	.
Avoirs	avoir	NOMcom	NOMB.=s|GENRE=m|CAS=n	Avoirs
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
tost	tost1	ADVgen	DEGRE=p	tost
faillis	falir	VERppe	NOMB.=s|GENRE=m|CAS=n	faillis
.	.	PONfrt	MORPH=empty	.
Asse	assez	ADVgen	MODE=sub|NOMB.=s|CAS=n	Asse
?	?	PONfrt	MORPH=empty	?
s	se	CONsub	MORPH=empty	s
tost	tost1	ADVgen	DEGRE=p	tost
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
uns	un	DETndf	NOMB.=s|GENRE=m|CAS=n	uns
hom	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n	hom
salis	salir2	VERppe	NOMB.=s|GENRE=m|CAS=n	salis
,	,	PONfbl	MORPH=empty	,
De	de	PRE	MORPH=empty	De
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	grant
avoir	avoir	NOMcom	NOMB.=s|GENRE=m|CAS=r	avoir
en	en1	PRE	MORPH=empty	en
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
poverte	povérte	NOMcom	NOMB.=s|GENRE=f|CAS=r	poverte
.	.	PONfrt	MORPH=empty	.
Ja	ja	ADVgen	DEGRE=-	Ja
?	?	PONfrt	MORPH=empty	?
puis	puis	ADVgen	DEGRE=-	puis
ne	ne1	ADVneg	MORPH=empty	ne
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
ert	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	ert
porte	porte1	NOMcom	NOMB.=s|GENRE=f|CAS=n	porte
ouverte	ovrir	VERppe	NOMB.=s|GENRE=f|CAS=r	ouverte
Volentiers	volentiers	ADVgen	DEGRE=-	Volentiers
.	.	PONfrt	MORPH=empty	.
Quant	cant1	CONsub	MORPH=empty	Quant
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
vient	venir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	vient
a	a3	PRE	MORPH=empty	a
?	?	PONfrt	MORPH=empty	?
court	corir	VERcjg	NOMB.=s|GENRE=f|CAS=r	court
,	,	PONfbl	MORPH=empty	,
Erraument	erranment	ADVgen	DEGRE=p	Erraument
arrie	ariere	VERppe	NOMB.=s|CAS=r	arrie
?	?	PONfrt	MORPH=empty	?
re	e2	NOMcom	GENRE=m	re
r’	?	ADVgen	MORPH=empty	r
acourt	acorre	VERcjg	MODE=sub|TEMPS=pst|NOMB.=s	acourt
Por	por2	PRE	MORPH=empty	Por
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
c’	que4	CONsub	MORPH=empty	c
on	on	PROind	NOMB.=s|GENRE=n|CAS=n	on
ne	ne1	ADVneg	MORPH=empty	ne
l’	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
i	i2	PROadv	MORPH=empty	i
