token	lemma	POS	morph	treated
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	Li
vilains	vilain	NOMcom	NOMB.=s|GENRE=m|CAS=n	vilains
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	dit
an	en1	PRE	MORPH=empty	an
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
respit	respit	NOMcom	NOMB.=s|GENRE=m|CAS=r	respit
que	que4	CONsub	MORPH=empty	que
tel	tel	DETind	NOMB.=s|GENRE=f|CAS=n	tel
chose	chose	NOMcom	NOMB.=s|GENRE=f|CAS=n	chose
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=r	l
an	on	PROind	NOMB.=s|GENRE=n|CAS=n	an
an	en1	PRE	MORPH=empty	an
despit	despit	NOMcom	PERS.=3|NOMB.=s|GENRE=m|CAS=r	despit
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
mout	mout	ADVgen	DEGRE=-	mout
valt	valoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	valt
mialz	mieus	ADVgen	DEGRE=c	mialz
que	que1	CONsub	MORPH=empty	que
l'	le	DETdef	NOMB.=s|GENRE=n|CAS=n	l
an	on	PROind	NOMB.=s|GENRE=n|CAS=n	an
ne	ne1	ADVneg	MORPH=empty	ne
cuide	cuidier1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	cuide
;	;	PONfbl	MORPH=empty	;
por	por2	PRE	MORPH=empty	por
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
fet	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	fet
bien	bien1	ADVgen	DEGRE=p	bien
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
estuide	estuide	NOMcom	NOMB.=s|GENRE=m|CAS=r	estuide
atorne	atorner	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	atorne
a	a3	PRE	MODE=ind|TEMPS=pst	a
bien	bien1	NOMcom	DEGRE=p	bien
,	,	PONfbl	MORPH=empty	,
quel	quel1	PROrel	NOMB.=s|GENRE=m|CAS=r	quel
que	que4	CONsub	CAS=r	que
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
ait	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	ait
,	,	PONfbl	MORPH=empty	,
car	car	CONcoo	MORPH=empty	car
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
estuide	estuide	NOMcom	NOMB.=s|GENRE=m|CAS=r	estuide
antrelait	entrelaiier	VERcjg	MODE=ind|PERS.=3|NOMB.=s	antrelait
,	,	PONfbl	MORPH=empty	,
tost	tost1	ADVgen	DEGRE=p	tost
i	i2	PROadv	MORPH=empty	i
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	puet
tel	tel	DETind	NOMB.=s|GENRE=f|CAS=r	tel
chose	chose	NOMcom	NOMB.=s|GENRE=f|CAS=r	chose
teisir	taire	VERinf	MORPH=empty	teisir
qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n	qui
mout	mout	ADVgen	DEGRE=-	mout
vandroit	venir	VERcjg	MODE=con|PERS.=3|NOMB.=s	vandroit
puis	puis	ADVgen	DEGRE=-	puis
a	a3	PRE	MORPH=empty	a
pleisir	plaisir	NOMcom	NOMB.=s|CAS=r	pleisir
.	.	PONfrt	MORPH=empty	.
Por	por2	PRE	MORPH=empty	Por
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	dist
Crestiens	Crestiien	NOMpro	NOMB.=s|GENRE=m|CAS=n	Crestiens
de	de	PRE	MORPH=empty	de
Troies	Troies	NOMpro	NOMB.=s|GENRE=f|CAS=r	Troies
que	que4	CONsub	GENRE=f	que
reisons	raison	NOMcom	NOMB.=s|GENRE=f|CAS=n	reisons
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
que	que4	CONsub	MORPH=empty	que
tote	tot	DETind	NOMB.=s|GENRE=f|CAS=r	tote
voies	voie	NOMcom	NOMB.=p|GENRE=f|CAS=r	voies
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	doit
chascuns	chascun	PROind	NOMB.=s|GENRE=m|CAS=n	chascuns
panser	penser	VERinf	MORPH=empty	panser
et	et	CONcoo	MORPH=empty	et
antandre	entendre	VERinf	MORPH=empty	antandre
a	a3	PRE	TEMPS=pst	a
bien	bien1	ADVgen	NOMB.=s|DEGRE=-	bien
dire	dire	VERinf	MORPH=empty	dire
et	et	CONcoo	MORPH=empty	et
a	a3	PRE	TEMPS=pst	a
bien	bien1	ADVgen	DEGRE=p	bien
aprandre	aprendre	VERinf	MORPH=empty	aprandre
,	,	PONfbl	MORPH=empty	,
et	et	CONcoo	MORPH=empty	et
tret	traire	VERcjg	MODE=ind|PERS.=3|NOMB.=s	tret
d'	de	PRE	MORPH=empty	d
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r	un
conte	conte2	NOMcom	NOMB.=s|GENRE=m|CAS=r	conte
d'	de	PRE	MORPH=empty	d
avanture	aventure	NOMcom	NOMB.=s|GENRE=f|CAS=r	avanture
une	un	DETndf	NOMB.=s|GENRE=f|CAS=n	une
mout	mout	ADVgen	DEGRE=-	mout
bele	bel1	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	bele
conjointure	conjointure	NOMcom	NOMB.=s|GENRE=f|CAS=r	conjointure
par	par	PRE	MORPH=empty	par
qu'	que4	PROrel	NOMB.=s|GENRE=n|CAS=r	qu
an	on	PROind	NOMB.=s|CAS=n	an
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	puet
prover	prover	VERinf	MORPH=empty	prover
et	et	CONcoo	MORPH=empty	et
savoir	savoir	VERinf	MORPH=empty	savoir
que	que4	CONsub	MORPH=empty	que
cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n	cil
ne	ne1	ADVneg	MORPH=empty	ne
fet	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	fet
mie	mie	ADVneg	MORPH=empty	mie
savoir	savoir	VERinf	MORPH=empty	savoir
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
s'	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r	s
escience	escïence	NOMcom	TEMPS=pst|PERS.=3|NOMB.=s	escience
n'	ne1	ADVneg	MORPH=empty	n
abandone	abandoner	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	abandone
tant	tant	ADVgen	DEGRE=-	tant
con	come1	CONsub	MORPH=empty	con
Dex	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n	Dex
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
grasce	grace	NOMcom	TEMPS=pst|NOMB.=s|GENRE=f	grasce
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
an	en2	PROadv	MORPH=empty	an
done	doner	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	done
.	.	PONfrt	MORPH=empty	.
D'	de	PRE	MORPH=empty	D
Erec	Erec	NOMpro	NOMB.=s	Erec
,	,	PONfbl	MORPH=empty	,
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
fil	fil2	NOMcom	NOMB.=s|GENRE=m|CAS=n	fil
Lac	Lac	NOMpro	NOMB.=s|GENRE=m|CAS=n	Lac
,	,	PONfbl	MORPH=empty	,
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
contes	conte2	NOMcom	NOMB.=s|GENRE=m|CAS=n	contes
,	,	PONfbl	MORPH=empty	,
que	que4	PROrel	GENRE=m|CAS=r	que
devant	devant	PRE	MORPH=empty	devant
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n	rois
et	et	CONcoo	MORPH=empty	et
devant	devant	PRE	DEGRE=-	devant
contes	conte1	NOMcom	NOMB.=p|GENRE=m|CAS=r	contes
depecier	depecier	VERinf	MORPH=empty	depecier
et	et	CONcoo	MORPH=empty	et
corronpre	corrompre	VERinf	MORPH=empty	corronpre
suelent	soloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	suelent
cil	cel	PROdem	NOMB.=p|GENRE=m|CAS=n	cil
qui	qui	PROrel	NOMB.=p|GENRE=m|CAS=n	qui
de	de	PRE	MORPH=empty	de
conter	conter	VERinf	MORPH=empty	conter
vivre	vivre1	VERinf	MORPH=empty	vivre
vuelent	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	vuelent
.	.	PONfrt	MORPH=empty	.
Des	des2	PRE	MORPH=empty	Des
or	or4	ADVgen	DEGRE=-	or
comancerai	comencier	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s	comancerai
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=r	l
estoire	estoire1	NOMcom	NOMB.=s|GENRE=f|CAS=r	estoire
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
toz	tot	DETind	GENRE=m|CAS=r	toz
jorz	jor	NOMcom	NOMB.=p|GENRE=m|CAS=r	jorz
mes	mais1	ADVgen	NOMB.=s|DEGRE=-	mes
iert	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	iert
an	en1	PRE	MORPH=empty	an
mimoire	memoire	NOMcom	NOMB.=s|GENRE=f|CAS=r	mimoire
tant	tant	ADVgen	DEGRE=-	tant
con	come1	CONsub	MORPH=empty	con
