token	lemma	POS	morph	treated
Ensi	ainsi	ADVgen	DEGRE=-	Ensi
volt	voloir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	volt
qu'	que4	CONsub	MORPH=empty	qu
ele	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	ele
fust	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	fust
celee	celer1	VERppe	NOMB.=s|GENRE=f|CAS=n	celee
,	,	PONfbl	MORPH=empty	,
Ne	ne2	CONcoo	MORPH=empty	Ne
n'	ne1	ADVneg	MORPH=empty	n
i	i2	PROadv	MORPH=empty	i
remest	remanoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	remest
huis	uis	NOMcom	NOMB.=s|GENRE=f|CAS=n|DEGRE=-	huis
ne	ne2	CONcoo	MORPH=empty	ne
antree	entree	NOMcom	NOMB.=s|GENRE=f|CAS=n	antree
Fors	fors1	ADVgen	MORPH=empty	Fors
c'	que1	CONsub	CAS=r	c
une	un	DETndf	NOMB.=s|GENRE=f|CAS=r	une
petite	petit	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	petite
fenestre	fenestre	NOMcom	NOMB.=s|GENRE=f|CAS=r	fenestre
.	.	PONfrt	MORPH=empty	.
Leanz	laienz	ADVgen	DEGRE=-	Leanz
covint	covenir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	covint
Lancelot	Lancelot	NOMpro	NOMB.=s|GENRE=m|CAS=r	Lancelot
estre	estre1	VERinf	MORPH=empty	estre
,	,	PONfbl	MORPH=empty	,
Si	si	ADVgen	DEGRE=-	Si
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
donoit	doner	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	donoit
l'	le	DETdef	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
an	on	PROind	NOMB.=s|GENRE=n|CAS=n	an
a	a3	PRE	PERS.=3	a
mangier	mangier	VERinf	MORPH=empty	mangier
,	,	PONfbl	MORPH=empty	,
Mout	mout	ADVgen	DEGRE=-	Mout
povremant	povrement	ADVgen	DEGRE=-	povremant
et	et	CONcoo	MORPH=empty	et
a	a3	PRE	MORPH=empty	a
dongier	dangier	NOMcom	NOMB.=s|GENRE=m|CAS=r	dongier
Par	par	PRE	MORPH=empty	Par
cele	cel	DETdem	NOMB.=s|GENRE=f|CAS=r	cele
fenestre	fenestre	NOMcom	NOMB.=s|GENRE=f|CAS=r	fenestre
petite	petit	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	petite
A	a3	PRE	PERS.=3|NOMB.=s	A
ore	ore3	NOMcom	GENRE=f	ore
devisee	deviser	VERppe	NOMB.=s|GENRE=f|CAS=r	devisee
et	et	CONcoo	MORPH=empty	et
dite	dire	VERppe	NOMB.=s|GENRE=f|CAS=r	dite
,	,	PONfbl	MORPH=empty	,
Si	si	ADVgen	DEGRE=-	Si
con	come1	CONsub	MORPH=empty	con
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=n|CAS=r	l
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
dit	dire	VERppe	NOMB.=s|GENRE=m|CAS=r	dit
et	et	CONcoo	MORPH=empty	et
comandé	comander	VERppe	NOMB.=s|GENRE=m|CAS=r	comandé
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	Li
fel	felon	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	fel
plains	plein	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	plains
de	de	PRE	MORPH=empty	de
desleauté	deslëauté	NOMcom	NOMB.=s|GENRE=f|CAS=r	desleauté
.	.	PONfrt	MORPH=empty	.
Or	or4	ADVgen	DEGRE=-	Or
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
tot	tot	ADVgen	GENRE=n|CAS=r|DEGRE=-	tot
fet	faire	VERppe	NOMB.=s|GENRE=m|CAS=r	fet
quanque	cantque	PROrel	GENRE=n|CAS=r	quanque
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
vialt	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	vialt
