token	lemma	POS	morph	treated
Artus	Artu	NOMpro	NOMB.=s|GENRE=m|CAS=r	Artus
,	,	PONfbl	MORPH=empty	,
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
boens	bon	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	boens
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n	rois
de	de	PRE	MORPH=empty	de
Bretaingne	Bretaigne	NOMpro	NOMB.=s|CAS=r	Bretaingne
,	,	PONfbl	MORPH=empty	,
La	le	DETdef	NOMB.=s|GENRE=f	La
cui	cui	PROrel	NOMB.=s|GENRE=f|CAS=i	cui
proesce	pröece	NOMcom	MODE=ind|NOMB.=s|GENRE=f|CAS=r	proesce
nos	nos1	PROper	PERS.=1|NOMB.=p|GENRE=f|CAS=n	nos
enseigne	enseignier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	enseigne
Que	que4	ADVint	MORPH=empty	Que
nos	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=n	nos
soiens	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=1|NOMB.=p	soiens
preu	pro	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	preu
et	et	CONcoo	MORPH=empty	et
cortois	cortois	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	cortois
,	,	PONfbl	MORPH=empty	,
Tint	tenir1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	Tint
cort	corir	NOMcom	NOMB.=s|GENRE=m|CAS=r	cort
si	si	ADVgen	DEGRE=-	si
riche	riche	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	riche
come	come1	CONsub	MORPH=empty	come
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n	rois
A	a3	PRE	PERS.=3|NOMB.=s	A
cele	cel	DETdem	NOMB.=s|GENRE=f|CAS=r	cele
feste	feste1	NOMcom	NOMB.=s|GENRE=f|CAS=r	feste
qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n	qui
tant	tant	DETind	NOMB.=s|DEGRE=-	tant
coste	coster1	VERcjg	TEMPS=pst|NOMB.=s|CAS=r	coste
,	,	PONfbl	MORPH=empty	,
Qu'	que4	PROrel	GENRE=f	Qu
an	on	PROind	MORPH=empty	an
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	doit
clamer	clamer	VERinf	MORPH=empty	clamer
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
Pantecoste	Pentecoste	NOMpro	NOMB.=s|GENRE=f|CAS=r	Pantecoste
.	.	PONfrt	MORPH=empty	.
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	Li
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n	rois
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
a	a3	PRE	MORPH=empty	a
Carduel	Carduel	NOMpro	NOMB.=s|GENRE=m|CAS=r	Carduel
en	en1	PRE	MORPH=empty	en
