token	lemma	POS	morph	treated
Quant	cant1	CONsub	MORPH=empty	Quant
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n	la
guerre	guerre	NOMcom	NOMB.=s|GENRE=f|CAS=n	guerre
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
definee	definer1	VERppe	NOMB.=s|GENRE=f|CAS=n	definee
,	,	PONfbl	MORPH=empty	,
Pandïon	Pandri	NOMpro	NOMB.=s|GENRE=f|CAS=n	Pandïon
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
dona	doner	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	dona
l'	le	DETdef	NOMB.=s|GENRE=f|CAS=r	l
ainsnee	ainzné	ADJqua	NOMB.=s|GENRE=f|CAS=r	ainsnee
De	de	PRE	MORPH=empty	De
.II.	2	DETcar	NOMB.=p|GENRE=f|CAS=r	.II.
filles	fille	NOMcom	NOMB.=p|GENRE=f|CAS=r	filles
que	que2	PROrel	NOMB.=p|GENRE=f|CAS=r	que
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	avoit
.	.	PONfrt	MORPH=empty	.
Ha	ha	INJ	MORPH=empty	Ha
,	,	PONfbl	MORPH=empty	,
Diex	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n	Diex
!	!	PONfrt	MORPH=empty	!
quel	quel1	DETint	NOMB.=s|GENRE=m|CAS=r	quel
duel	duel	NOMcom	NOMB.=s|GENRE=m|CAS=r	duel
qu	que2	CONsub	NOMB.=s	qu
'	'	PONfbl	MORPH=empty	'
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
ne	ne1	ADVneg	MORPH=empty	ne
savoit	savoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	savoit
La	le	DETdef	NOMB.=s|GENRE=f|CAS=r	La
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	grant
dolour	dolor	NOMcom	NOMB.=s|GENRE=f|CAS=r	dolour
et	et	CONcoo	MORPH=empty	et
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
damage	damage	NOMcom	NOMB.=s|GENRE=m|CAS=r	damage
Qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	Qui
puis	puis	ADVgen	DEGRE=-	puis
vint	venir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	vint
de	de	PRE	MORPH=empty	de
ce	ce2	DETdem	NOMB.=s|GENRE=m|CAS=r	ce
mariage	marïage	NOMcom	NOMB.=s|GENRE=m|CAS=r	mariage
,	,	PONfbl	MORPH=empty	,
Dont	dont	PROrel	GENRE=m	Dont
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
plora	plorer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	plora
puis	puis	ADVgen	MORPH=empty	puis
mainte	maint	DETind	NOMB.=s|GENRE=f|CAS=r	mainte
lerme	larme	NOMcom	NOMB.=s|GENRE=f|CAS=r	lerme
Et	et	CONcoo	MORPH=empty	Et
morut	morir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	morut
de	de	PRE	MORPH=empty	de
duel	duel	NOMcom	NOMB.=s|GENRE=m|CAS=r	duel
ains	ainz	PRE	DEGRE=-	ains
