token	lemma	POS	morph	treated
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	Li
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n	rois
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	le
uoit	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	uoit
,	,	PONfbl	MORPH=empty	,
molt	mout	ADVgen	DEGRE=-	molt
a	a3	PRE	MORPH=empty	a
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	grant
ioie	öir	NOMcom	NOMB.=s|GENRE=f|CAS=r	ioie
Ses	son4	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=r	Ses
deus	deus	ADJcar	NOMB.=p|GENRE=m|CAS=r	deus
bras	braz	NOMcom	NOMB.=p|GENRE=m|CAS=r	bras
al	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	al
col	col	NOMcom	NOMB.=s|GENRE=m|CAS=r	col
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
enuoie	enoiier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	enuoie
Come	come1	CONsub	MORPH=empty	Come
cortois	cortois	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	cortois
et	et	CONcoo	MORPH=empty	et
bien	bien1	ADVgen	DEGRE=p	bien
apris	aprendre	VERppe	NOMB.=s|GENRE=m|CAS=r	apris
.	.	PONfrt	MORPH=empty	.
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	Li
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n	rois
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	dist
:	:	PONfbl	MORPH=empty	:
Biaus	bel1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	Biaus
dols	douz	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	dols
amis	ami	NOMcom	NOMB.=s|GENRE=m|CAS=n	amis
,	,	PONfbl	MORPH=empty	,
Sires	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n	Sires
soiez	estre1	VERcjg	MODE=imp|PERS.=2|NOMB.=p	soiez
de	de	PRE	MORPH=empty	de
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r	ma
maison	maison	NOMcom	NOMB.=s|GENRE=f|CAS=r	maison
:	:	PONfbl	MORPH=empty	:
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ie
uous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i	uous
met	metre2	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	met
tout	tot	ADVgen	CAS=r	tout
a	a3	PRE	MORPH=empty	a
abandon	abandon	NOMcom	NOMB.=s|GENRE=m|CAS=r	abandon
Quanques	cantque	PROrel	NOMB.=s|GENRE=n|CAS=r	Quanques
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	ie
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	ai
,	,	PONfbl	MORPH=empty	,
sanz	sans	PRE	MORPH=empty	sanz
nul	nul	DETind	NOMB.=s|GENRE=m|CAS=r	nul
dangier	dangier	NOMcom	NOMB.=s|GENRE=m|CAS=r	dangier
,	,	PONfbl	MORPH=empty	,
Et	et	CONcoo	MORPH=empty	Et
des	des2	PRE	MORPH=empty	des
or	or4	ADVgen	DEGRE=-	or
uous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=r	uous
aurai	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	aurai
plus	plus	ADVgen	DEGRE=-	plus
chier	chier	ADJqua	GENRE=m|DEGRE=p	chier
Que	que1	CONsub	MORPH=empty	Que
nul	nul	DETind	NOMB.=s|GENRE=m|CAS=n	nul
autre	autre	PROind	NOMB.=s|GENRE=m|CAS=r	autre
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
iamais	ja+mais1	ADVgen	DEGRE=-	iamais
soit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	soit
.	.	PONfrt	MORPH=empty	.
A	a3	PRE	MORPH=empty	A
tant	tant	ADVgen	DEGRE=-	tant
reuient	revëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	reuient
chil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n	chil
a	a3	PRE	MORPH=empty	a
esploit	esploit	NOMcom	NOMB.=s|GENRE=m|CAS=r	esploit
Qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	Qui
l'	le	DETdef	NOMB.=s|GENRE=f|CAS=r	l
espee	espee	NOMcom	NOMB.=s|GENRE=f|CAS=r	espee
