token	lemma	POS	morph	treated
D'	de	PRE	MORPH=empty	D
AUS	a3+le	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r	AUS
deus	deus	PROcar	NOMB.=p|GENRE=m|CAS=r	deus
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	le
conte	conte1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s|GENRE=m|CAS=r	conte
ci	ci	ADVgen	DEGRE=-	ci
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n	vos
les	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r	les
,	,	PONfbl	MORPH=empty	,
Si	si	ADVgen	DEGRE=-	Si
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n	vos
diromes	dire	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=p	diromes
ci	ci	ADVgen	DEGRE=-	ci
aprés	après	ADVgen	DEGRE=-	aprés
De	de	PRE	MORPH=empty	De
Perceval	Perceval	NOMpro	NOMB.=s|CAS=r	Perceval
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
verité	verité	NOMcom	NOMB.=s|GENRE=f|CAS=r	verité
,	,	PONfbl	MORPH=empty	,
Qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n	Qui
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
an	en1	PRE	MORPH=empty	an
tante	tant	DETind	NOMB.=s|GENRE=f|CAS=r	tante
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r	terre
esté	estre1	VERppe	NOMB.=s|GENRE=m|CAS=n	esté
Et	et	CONcoo	MORPH=empty	Et
trové	trover	VERppe	NOMB.=p|GENRE=m|CAS=n	trové
tantes	tant	DETind	NOMB.=p|GENRE=f|CAS=r	tantes
avantures	aventure	NOMcom	NOMB.=p|GENRE=f|CAS=r	avantures
Et	et	CONcoo	MORPH=empty	Et
feites	faire	VERcjg	MODE=ind|NOMB.=p|GENRE=f	feites
batailles	bataille	NOMcom	NOMB.=p|GENRE=f|CAS=r	batailles
molt	mout	ADVgen	DEGRE=-	molt
dures	dur	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p	dures
,	,	PONfbl	MORPH=empty	,
Dom	dont	PROrel	MORPH=empty	Dom
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
l'	le	DETdef	PERS.=3|NOMB.=s|GENRE=f|CAS=r	l
enor	onor	NOMcom	NOMB.=s|GENRE=f|CAS=r	enor
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	avoit
eüe	avoir	VERppe	NOMB.=s|GENRE=f|CAS=r	eüe
.	.	PONfrt	MORPH=empty	.
Un	un	DETndf	NOMB.=s|GENRE=m|CAS=r	Un
jor	jor	NOMcom	NOMB.=s|GENRE=m|CAS=r	jor
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r	sa
voie	voie	NOMcom	NOMB.=s|GENRE=f|CAS=r	voie
tenue	tenir1	VERppe	NOMB.=s|GENRE=f|CAS=r	tenue
Tant	tant	ADVgen	DEGRE=-	Tant
qu'	que4	CONsub	MORPH=empty	qu
an	en1	PRE	MORPH=empty	an
une	un	DETndf	NOMB.=s|GENRE=f|CAS=r	une
