token	lemma	POS	morph	treated
GALERAN	Galeran	NOMpro	NOMB.=s|GENRE=m|CAS=r	GALERAN
DE	de	PRE	MORPH=empty	DE
BRETAGNE	Bretaigne	NOMpro	NOMB.=s|GENRE=f|CAS=r	BRETAGNE
[	[	PONfbl	MORPH=empty	[
.	.	PONfrt	MORPH=empty	.
.	.	PONfrt	MORPH=empty	.
.	.	PONfrt	MORPH=empty	.
]	]	PONfbl	MORPH=empty	]
Haulx	haut	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	Haulx
homs	ome	NOMcom	NOMB.=s|GENRE=m|CAS=r	homs
courtois	cortois	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	courtois
,	,	PONfbl	MORPH=empty	,
vaillans	vaillant	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	vaillans
et	et	CONcoo	MORPH=empty	et
sages	sage	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	sages
,	,	PONfbl	MORPH=empty	,
D'	de	PRE	MORPH=empty	D
assés	assez	ADVgen	GENRE=m|DEGRE=-	assés
pou	poi	ADVgen	DEGRE=-	pou
d'	de	PRE	MORPH=empty	d
ans	an	NOMcom	NOMB.=p|GENRE=m|CAS=r	ans
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
ses	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=n	ses
aages	ëage	NOMcom	NOMB.=s|GENRE=m|CAS=n	aages
;	;	PONfbl	MORPH=empty	;
S'	si	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	S
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
bons	bon	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	bons
chevaliers	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=n	chevaliers
et	et	CONcoo	MORPH=empty	et
hardiz	hardi	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	hardiz
,	,	PONfbl	MORPH=empty	,
Loyaux	lëal	NOMpro	NOMB.=s|GENRE=m|CAS=n	Loyaux
,	,	PONfbl	MORPH=empty	,
sans	sans	PRE	MORPH=empty	sans
ire	ire	NOMcom	NOMB.=s|GENRE=f|CAS=r	ire
et	et	CONcoo	MORPH=empty	et
sans	sans	PRE	MORPH=empty	sans
mesdiz	mesdit	NOMcom	NOMB.=p|GENRE=m|CAS=r	mesdiz
.	.	PONfrt	MORPH=empty	.
Ces	ce2	DETdem	NOMB.=p|GENRE=f|CAS=r	Ces
graces	grace	NOMcom	NOMB.=p|GENRE=f|CAS=r	graces
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
chevaliers	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=n	chevaliers
.	.	PONfrt	MORPH=empty	.
Assez	assez	ADVgen	DEGRE=-	Assez
en	en2	PROadv	MORPH=empty	en
eüt	avoir	VERcjg	MODE=sub|TEMPS=psp|PERS.=3|NOMB.=s	eüt
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=n	sa
moulliers	moillier1	NOMcom	NOMB.=s|GENRE=f|CAS=n	moulliers
Se	se	CONsub	MORPH=empty	Se
ne	ne1	ADVneg	MORPH=empty	ne
fust	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	fust
mautalent	mautalent	NOMcom	NOMB.=s|GENRE=m|CAS=n	mautalent
et	et	CONcoo	MORPH=empty	et
ire	ire	NOMcom	NOMB.=s|GENRE=f|CAS=n	ire
,	,	PONfbl	MORPH=empty	,
Qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	Qui
souvent	sovent	ADVgen	DEGRE=-	souvent
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	fait
a	a3	PRE	MORPH=empty	a
plusieurs	plusor	PROind	NOMB.=p|GENRE=m|CAS=r	plusieurs
dire	dire	VERinf	MORPH=empty	dire
Mainte	maint	DETind	NOMB.=s|GENRE=f|CAS=r	Mainte
folie	folie2	NOMcom	NOMB.=s|GENRE=f|CAS=r	folie
et	et	CONcoo	MORPH=empty	et
maint	maint	DETind	NOMB.=s|GENRE=m|CAS=r	maint
oultrage	outrage	NOMcom	NOMB.=s|GENRE=m|CAS=r	oultrage
.	.	PONfrt	MORPH=empty	.
La	le	DETdef	NOMB.=s|GENRE=f|CAS=n	La
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n	dame
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	estoit
de	de	PRE	MORPH=empty	de
hault	haut	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	hault
parage	parage	NOMcom	NOMB.=s|GENRE=m|CAS=r	parage
,	,	PONfbl	MORPH=empty	,
De	de	PRE	MORPH=empty	De
