token	lemma	POS	morph	treated
Que	que4	CONcoo	MORPH=empty	Que
sages	sage	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	sages
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	fait
,	,	PONfbl	MORPH=empty	,
comment	coment1	ADVsub	MORPH=empty	comment
k'	que4	CONsub	MORPH=empty	k
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
aille	aler	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	aille
,	,	PONfbl	MORPH=empty	,
Ki	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	Ki
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
sens	sens	NOMcom	NOMB.=s|GENRE=m|CAS=r	sens
aüse	avoir	VERcjg	TEMPS=pst|PERS.=1|NOMB.=s|CAS=r	aüse
et	et	CONcoo	MORPH=empty	et
travaille	travaillier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	travaille
En	en1	PRE	MORPH=empty	En
dire	dire	VERinf	MORPH=empty	dire
aucune	aucun	DETind	NOMB.=s|GENRE=f|CAS=r	aucune
boune	bon	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	boune
chose	chose	NOMcom	NOMB.=s|GENRE=f|CAS=r	chose
.	.	PONfrt	MORPH=empty	.
Moult	mout	ADVgen	DEGRE=-	Moult
hounore	onorer	VERcjg	NOMB.=s|CAS=r|DEGRE=p	hounore
home	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n	home
et	et	CONcoo	MORPH=empty	et
alose	aloser	VERcjg	PERS.=1|NOMB.=s|GENRE=m	alose
Bons	bon	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	Bons
dis	di	NOMcom	NOMB.=s|GENRE=m|CAS=r	dis
et	et	CONcoo	MORPH=empty	et
bien	bien1	ADVgen	DEGRE=p	bien
fais	faire	VERppe	TEMPS=pst|PERS.=1|NOMB.=s|GENRE=m|CAS=r	fais
,	,	PONfbl	MORPH=empty	,
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	me
sanlle	senlir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	sanlle
;	;	PONfbl	MORPH=empty	;
Et	et	CONcoo	MORPH=empty	Et
ki	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	ki
