token	lemma	POS	morph	treated
La	là	DETdef	NOMB.=s|GENRE=f|CAS=n	La
vielle	vieil	NOMcom	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	vielle
vit	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	vit
cele	cel	DETdem	NOMB.=s|GENRE=f|CAS=r	cele
samblanche	semblance	NOMcom	NOMB.=s|GENRE=f|CAS=r	samblanche
,	,	PONfbl	MORPH=empty	,
Molt	mout	ADVgen	DEGRE=-	Molt
par	par	PRE	MORPH=empty	par
li	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=i	li
vint	venir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	vint
à	a3	PRE	MORPH=empty	à
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	grant
merveille	merveille	NOMcom	NOMB.=s|GENRE=f|CAS=r	merveille
.	.	PONfrt	MORPH=empty	.
Lors	lors	ADVgen	DEGRE=-	Lors
vient	venir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	vient
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	au
conte	conte1	NOMcom	NOMB.=s|GENRE=m|CAS=r	conte
,	,	PONfbl	MORPH=empty	,
si	si	ADVgen	DEGRE=-	si
l’	le	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r	l
esvelle	esveille	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	esvelle
:	:	PONfbl	MORPH=empty	:
